StateID,State,adh_AUGavg,adh_JULavg,adh_JUNEavg,adh_MAYavg,adh_APRavg,Pop_2019,Hispanic,NHBlack,NHWhite,Age,PopDensity,DistancePolicy,tot_Cases_Jul,DistanceNone,DistanceStrict,DistCat,tot_cases_Apr,tot_cases_May,tot_cases_Jun,tot_cases_Aug,tot_cases_Sep,newCases_May,newCases_Jun,newCases_Jul,newCases_Aug,newCases_Sep,case_rate_May,case_rate_Jun,case_rate_Jul,case_rate_Aug,case_rate_Sep,EndStayHome,NoStayHomePolicy,NoHomeMay,MaskPolStart,MaskJunPol,MaskJulPol,MaskAugPol,MaskSepPol,MaskPolStop,tot_cases_Oct,newCases_Oct,case_rate_Oct,AdhSEPavg,Wk_case_rate_Sep,Wk_case_rate_Oct,Wk_case_rate_Aug,Wk_case_rate_Jul,Wk_case_rate_Jun,Wk_case_rate_May,Wk_MayHI,Wk_JunHI,Wk_JulHI,Wk_AugHI,Wk_SepHI,Wk_OctHI,maskGT75,maskSEP75,maskJUL75,maskAUG75,strictJunPol,strictJulPol,strictSeplPol,strictSepPol,strictAuglPol,strictAugPol
1,Alabama,65.35483871,62.67741935,27.6,30.13,24.67,4903185,4.1,26.7,65.5,39.3,94.4,Recommen,87867,0,1,3,7306,18245,38064,126058,154701,10939,19819,49803,38191,28643,223.099883,404.2066534,1015.727532,778.901877,584.1713091,4/30/2020,0,1,7/16/2020,0,1,1,1,0,192285,37584,766.5221688,59.83,265.5324132,348.4191676,354.0463077,461.6943328,183.730297,101.4090377,0,0,1,1,1,1,0,0,0,0,0,0,0, ,0, 
2,Alaska,56.83870968,57.4516129,46.03,42.42,33.3,731545,7,2.9,60.6,34.9,1.2,Recommen,2990,0,1,3,355,460,940,5263,7824,105,480,2050,2273,2561,14.35318401,65.6145555,280.2288308,310.7122597,350.080993,4/24/2020,0,1,4/24/2020,1,1,1,1, ,15274,7450,1018.39258,52.33,159.1277241,462.9057182,141.2328453,127.3767413,29.82479795,6.524174552,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1
3,Arizona,87.25806452,83.12903226,21.77,17.55,14.9,7278717,31.4,4.1,54.7,38,63,Recommen,174010,0,1,3,7648,19936,79215,201835,218507,12288,59279,94795,27825,16672,168.8209612,814.4155076,1302.358644,382.2789099,229.0513562,5/16/2020,0,0,0,0,0,0,0,0,245946,27439,376.9757775,67.97,104.1142528,171.3526261,173.7631408,591.9812017,370.1888671,76.73680053,0,1,1,0,0,0,1,0,1,1,0,0,0, ,0, 
4,Arkansas,59,58.25806452,36.9,38.19,27.57,3017804,7.4,15.2,72.3,38.1,56,None,42511,1,0,1,3255,7253,20777,61224,83697,3998,13524,21734,18713,22473,132.4804394,448.1404359,720.1925639,620.086659,744.680569,0,1,1,7/20/2020,0,1,1,1,0,112190,28493,944.1633718,60.2,338.4911677,429.165169,281.8575723,327.3602563,203.7001981,60.21838155,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1
5,California,74.61290323,74.29032258,48.7,45.23,38.07,39512223,39.1,5.5,37,36.7,251.3,Recommen,493588,0,1,3,48917,110583,222917,704085,810625,61666,112334,270671,210497,106540,156.0681615,284.3018982,685.0310599,532.7389451,269.6380814,0,0,0,6/18/2020,1,1,1,1,0,922005,111380,281.8874554,72.47,122.5627643,128.1306616,242.154066,311.3777545,129.2281355,70.9400734,0,0,1,1,0,0,0,0,0,0,0,0,0, ,0, 
6,Colorado,61.70967742,61.12903226,48,45.71,31.1,5758736,21.5,3.9,68.2,36.9,52,Recommen,46809,0,1,3,15182,26378,32715,57424,70536,11196,6337,14094,10615,13112,194.4176639,110.0415091,244.7412071,184.3286443,227.6888539,4/27/2020,0,1,7/16/2020,0,1,1,1,0,107350,36814,639.2722292,63.57,103.4949336,290.578286,83.78574743,111.2460032,50.01886778,88.3716654,0,0,0,0,0,1,0,0,0,0,0,0,0, ,0, 
7,Connecticut,73.35483871,78.5483871,55.4,47.68,22.97,3565287,16.1,9.9,66.7,41.1,738.1,None,49810,1,0,1,27700,42201,46514,52879,57550,14501,4313,3296,3069,4671,406.7274247,120.9720283,92.44697552,86.08002666,131.0132957,0,1,1,4/20/2020,1,1,1,1,0,71207,13657,383.0547162,71.37,59.55149805,174.1157801,39.12728484,42.02135251,54.98728561,184.8761022,0,0,0,0,0,0,1,0,1,0,0,0,0, ,0, 
8,Delaware,68.41935484,65.74193548,39.83,36.39,25.47,973764,9.3,21.5,62.2,41.1,460.8,Recommen,14877,0,1,3,4734,9606,11510,17535,20613,4872,1904,3367,2658,3078,500.3265678,195.5299231,345.7716654,272.9614157,316.0930164,6/1/2020,0,0,4/28/2020,1,1,1,1,0,25126,4513,463.4593187,70.9,143.6786438,210.6633267,124.0733708,157.1689388,88.87723776,227.4211672,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1
9,District of Columbia,71.77419355,69.38709677,39.87,36.39,25.63,705749,11,45.3,36.5,33.9,10298,Recommen,12126,0,1,3,4323,8801,10327,13992,15326,4478,1526,1799,1866,1334,634.5032016,216.2241817,254.9064894,264.3999496,189.0190422,5/29/2020,0,0,4/17/2020,1,1,1,1,0,17266,1940,274.8852637,72.33,85.91774645,124.9478472,120.1817953,115.8665861,98.28371895,288.4105462,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
10,Florida,71.64516129,66.90322581,45.1,43.45,35.03,21477737,25.6,15.4,53.8,42.2,353.4,Baseline,465030,0,0,2,33690,54764,149781,616629,698051,21074,95017,315249,151599,81422,98.12020698,442.3976325,1467.794303,705.8425196,379.0995299,5/18/2020,0,0,0,0,0,0,0,0,791997,93946,437.4110736,65.93,172.3179681,198.8232153,320.8375089,667.1792284,201.0898329,44.60009408,0,1,1,1,0,0,0,0,0,0,0,0,0, ,0, 
11,Georgia,59.96774194,57.61290323,34.77,32.13,24.6,10617423,9.6,31.1,52.6,36.8,168.4,Baseline,186352,0,0,2,26095,47009,81291,270471,318026,20914,34282,105061,84119,47555,196.9781179,322.884376,989.5150641,792.2732286,447.8958783,5/1/2020,0,1,0,0,0,0,0,0,360790,42764,402.7719344,58.27,203.5890356,183.078152,360.1241948,449.7795746,146.7656255,89.53550816,0,0,1,1,1,0,0,0,0,0,0,0,0, ,0, 
12,Hawaii,77.58064516,78.09677419,46.4,42.52,34.1,1415872,10.5,16,21.8,39.3,222.9,Recommen,1989,0,1,3,562,607,842,7835,12589,45,235,1147,5846,4754,3.178253401,16.59754554,81.01014781,412.8904308,335.7648149,0,0,1,4/16/2020,1,1,1,1,0,14995,2406,169.9306152,73.77,152.6203704,77.24118873,187.6774685,36.82279446,7.544338882,1.444660637,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1
